Species,Site,Subsite,Latitude,Longitude,Date of seed collection,Source population N,Greenhouse population N
S. alterniflora,Belle Isle,L-Berm,42.387,70.99,Sept 14 2022,20,0
S. alterniflora,Belle Isle,Rosie's Pond,42.387,70.998,Sept 14 2022,20,20
S. alterniflora,Belle Isle,Key,42.391,70.986,Sept 14 2022,20,0
S. alterniflora,Rumney Marsh,Far,42.437,70.996,Sept 15 2022,20,20
S. alterniflora,Rumney Marsh,Hamilton,42.443,70.99,Sept 15 2022,20,20
S. alterniflora,Rumney Marsh,Terrace,42.44,71.011,Sept 15 2022,20,20
S. alterniflora,Rowley Great Marsh,Stackyard,42.745,70.832,Sept 27 2022,20,50
S. alterniflora,Rowley Great Marsh,Law's,42.748,70.843,Sept 27 2022,20,0
S. alterniflora,Rowley Great Marsh,Patmos,42.748,70.84,Sept 27 2022,20,20
S. patens,Belle Isle,L-Berm,42.388,70.991,Sept 14 2022,20,0
S. patens,Belle Isle,Rosie's Pond,42.388,70.999,Sept 14 2022,20,0
S. patens,Belle Isle,Key,42.391,70.986,Sept 14 2022,20,20
S. patens,Rumney Marsh,Far,42.437,70.995,Sept 15 2022,20,14
S. patens,Rumney Marsh,Hamilton,42.443,70.991,Sept 15 2022,20,12
S. patens,Rumney Marsh,Terrace,42.44,71.011,Sept 15 2022,20,13
S. patens,Rowley Great Marsh,Stackyard,42.745,70.832,Sept 27 2022,20,50
S. patens,Rowley Great Marsh,Stackyard South,42.743,70.834,Sept 27 2022,20,50
S. patens,Rowley Great Marsh,Patmos,42.746,70.84,Sept 27 2022,20,20